speaker,label,vowel,NC,voicing,nas_prop
S18,z__E_nt_a___N_B09/s,e,nt,voiceless,0.6279530085479442
S18,z__O_nd_@___N_B24/s,o,nd,voiced,0.6202620103584073
S18,z__O_nt_@___N_B07/s,o,nt,voiceless,0.7616182367585357
S18,z__a_nd_@___N_B10/s,a,nd,voiced,0.6542066816534605
S18,z__a_nt_@___N_B12/s,a,nt,voiceless,0.6451403123568525
S19,?__E_nd_@___N_B22/s,e,nd,voiced,0.2954916085586261
S19,?__E_nt_@___N_B13/s,e,nt,voiceless,0.26783094414800945
S19,b__U_nd_@___N_B08/s,u,nd,voiced,0.13056615524970155
S19,b__U_nt_@___N_B25/s,u,nt,voiceless,0.16440743805142088
S19,b__a_nd_@___N_B24/s,a,nd,voiced,0.2575669045284559
S19,b__a_nt_@___N_B09/s,a,nt,voiceless,0.43357282585663737
S19,f__I_nd_@___N_B11/s,i,nd,voiced,0.077583071682683
S19,f__I_nt_@___N_B07/s,i,nt,voiceless,0.4772057917199306
S19,f__I_nt_@___N_B08/s,i,nt,voiceless,0.5306996834414403
S19,l__I_nd_@___N_B10/s,i,nd,voiced,0.37718061646446954
S19,p__E_nt_____N_B07/s,e,nt,voiceless,0.2738817927956177
S19,p__E_nt_____N_B08/s,e,nt,voiceless,0.24146688157205143
S19,p__a_nd_a___N_B25/s,a,nd,voiced,0.11813556595002571
S19,p__a_nt_6___N_B11/s,a,nt,voiceless,0.2294984819965777
S19,r__E_nd_6___N_B25/s,e,nd,voiced,0.10124716602263575
S19,r__E_nt_@___N_B12/s,e,nt,voiceless,0.2450781062599073
S19,r__I_nt_____N_B07/s,i,nt,voiceless,0.3192946155076273
S19,r__I_nt_____N_B08/s,i,nt,voiceless,0.6291689907464777
S19,v__I_nd_@___N_B20/s,i,nd,voiced,0.09467011835267142
S19,v__I_nt_6___N_B09/s,i,nt,voiceless,0.5125897825016094
S19,v__a_nt_@___N_B23/s,a,nt,voiceless,0.3814071369990326
S19,z__E_nd_@___N_B10/s,e,nd,voiced,0.228910034020525
S19,z__E_nt_a___N_B20/s,e,nt,voiceless,0.3007979524336751
S19,z__O_nd_@___N_B22/s,o,nd,voiced,0.05647889554786918
S19,z__O_nt_@___N_B23/s,o,nt,voiceless,0.2999675667866417
S19,z__a_nd_@___N_B11/s,a,nd,voiced,0.12334553795231391
S19,z__a_nt_@___N_B10/s,a,nt,voiceless,0.5543515802555262
S20,b__U_nd_@___N_B23/s,u,nd,voiced,0.056907379472367174
S20,b__U_nt_@___N_B22/s,u,nt,voiceless,0.1474857303347423
S20,b__a_nd_@___N_B20/s,a,nd,voiced,0.2355510467733856
S20,b__a_nt_@___N_B21/s,a,nt,voiceless,0.3493169687872037
S20,f__I_nt_@___N_B23/s,i,nt,voiceless,0.18073256443876345
S20,l__I_nd_@___N_B12/s,i,nd,voiced,0.11291078874096662
S20,p__E_nt_____N_B23/s,e,nt,voiceless,0.2991537748733739
S20,p__a_nd_a___N_B22/s,a,nd,voiced,0.34765724199957104
S20,p__a_nt_6___N_B10/s,a,nt,voiceless,0.4928143592544489
S20,r__E_nd_6___N_B22/s,e,nd,voiced,0.8189831257241146
S20,r__E_nt_@___N_B08/s,e,nt,voiceless,0.3304324568213077
S20,r__I_nt_____N_B23/s,i,nt,voiceless,0.35314362958042095
S20,r__a_nt_@___N_B10/s,a,nt,voiceless,0.7452369869934791
S20,v__I_nt_6___N_B21/s,i,nt,voiceless,0.11656962266803056
S20,v__a_nt_@___N_B07/s,a,nt,voiceless,0.47873972645073043
S20,z__E_nd_@___N_B12/s,e,nd,voiced,0.18765135092510693
